cca2,Country,year,population
CN,China,1970,827601.394
CN,China,1980,1000089.235
CN,China,1990,1176883.674
CN,China,2000,1290550.765
CN,China,2010,1368810.615
CN,China,2015,1406847.870
CN,China,2019,1433783.686
CN,China,2020,1439323.776
CN,China,2021,1444216.107
IN,India,1970,555189.792
IN,India,1980,698952.844
IN,India,1990,873277.798
IN,India,2000,1056575.549
IN,India,2010,1234281.170
IN,India,2015,1310152.403
IN,India,2019,1366417.754
IN,India,2020,1380004.385
IN,India,2021,1393409.038
US,United States of America,1970,209513.341
US,United States of America,1980,229476.354
US,United States of America,1990,252120.309
US,United States of America,2000,281710.909
US,United States of America,2010,309011.475
US,United States of America,2015,320878.310
US,United States of America,2019,329064.917
US,United States of America,2020,331002.651
US,United States of America,2021,332915.073
